Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person
ESS	Malam	F	30-45	Yamkong	Pallong	Y	109	bogon	auxiliary	n	V	fut	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	116	dan	copula	n	#	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	120	dan	copula	n	V	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	122	dan	copula	0	C	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	123	dan	copula	0	C	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	130	bogon	auxiliary	n	##	fut	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	137	dan	copula	n	C	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	148	dan	copula	0	#	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	149	dan	copula	0	V	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	153	dan	copula	0	C	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	161	dan	copula	n	#	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	170	dan	copula	n	V	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	172	dan	copula	n	C	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	180	dan	copula	0	C	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	186	dan	copula	n	V	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	199	allan	auxiliary	0	##	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	233	allan	auxiliary	n	##	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	239	gogon	auxiliary	n	##	rem	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	247	allan	auxiliary	n	V	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	250	allan	auxiliary	n	##	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	251	allan	auxiliary	n	##	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	253	allan	auxiliary	n	##	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	255	dan	copula	n	V	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	259	dan	copula	n	##	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	261	dan	copula	n	V	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	262	dan	copula	0	V	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	267	dan	copula	0	#	prs	3
ESS	Malam	F	30-45	Yamkong	Pallong	Y	268	dan	copula	n	##	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	270	dan	copula	n	##	prs	1
ESS	Malam	F	30-45	Yamkong	Pallong	Y	273	dan	copula	n	C	prs	1
GGP	Limol	M	62+	Yamkong	Därälag	Y	17	allan	auxiliary	0	##	prs	1
GGP	Limol	M	62+	Yamkong	Därälag	Y	26	allan	auxiliary	0	##	prs	1
GGP	Limol	M	62+	Yamkong	Därälag	Y	32	bogon	auxiliary	n	##	fut	3
GGP	Limol	M	62+	Yamkong	Därälag	Y	48	allan	auxiliary	0	##	prs	1
GGP	Limol	M	62+	Yamkong	Därälag	Y	52	allan	auxiliary	n	V	prs	1
GGP	Limol	M	62+	Yamkong	Därälag	Y	56	allan	auxiliary	n	V	prs	3
GGP	Limol	M	62+	Yamkong	Därälag	Y	60	allan	auxiliary	0	#	prs	1
GGP	Limol	M	62+	Yamkong	Därälag	Y	63	dan	copula	0	##	prs	3
GGP	Limol	M	62+	Yamkong	Därälag	Y	64	allan	auxiliary	0	#	prs	1
GGP	Limol	M	62+	Yamkong	Därälag	Y	65	dan	copula	n	##	prs	3
GGP	Limol	M	62+	Yamkong	Därälag	Y	66	dan	copula	n	##	prs	3
GGP	Limol	M	62+	Yamkong	Därälag	Y	68	allan	auxiliary	0	V	prs	1
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	12	dan	copula	n	C	prs	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	28	allan	auxiliary	n	##	prs	1
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	40	dan	copula	n	V	prs	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	43	dan	copula	n	##	prs	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	53	dan	copula	0	##	prs	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	63	dan	copula	0	C	prs	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	81	bogon	auxiliary	n	V	fut	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	82	bogon	auxiliary	n	V	fut	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	83	dan	copula	n	V	prs	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	84	bogon	auxiliary	n	#	fut	3
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	101	allan	auxiliary	n	V	prs	1
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	113	allan	auxiliary	n	V	prs	1
GGR	Malam	M	46-61	Ddɨliag	Bubog	Y	134	dan	copula	n	##	prs	3
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	8	gogon	auxiliary	n	##	rem	3
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	18	allan	auxiliary	0	##	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	39	dan	copula	0	C	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	41	dan	copula	0	C	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	42	dan	copula	0	C	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	43	dan	copula	0	C	prs	3
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	44	allan	auxiliary	n	V	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	49	allan	auxiliary	n	##	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	56	allan	auxiliary	n	##	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	60	allan	auxiliary	0	V	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	62	bogon	auxiliary	n	V	fut	3
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	70	allan	auxiliary	n	V	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	71	gogon	auxiliary	n	#	rem	3
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	72	dan	copula	0	V	prs	3
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	74	allan	auxiliary	n	V	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	78	dan	copula	0	C	prs	1
GJJ	Limol	M	30-45	Ddɨliag	Tizag	Y	79	dan	copula	0	C	prs	1
