Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Orator	Token_ID	Word	Word_class	Nasal_drop	Fol_seg	Tense	Subj_person	Syllabicity	Word_class	Genre
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	47	dan	copula	0	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	48	dan	copula	n	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	50	dan	copula	0	V	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	57	dan	copula	0	##	prs	3			
CDD	Limol	F	15-29	Dd?liag	Yawinang	N	58	dan	copula	n	##	prs	1			
CSS	Malam	F	15-29	Dd?liag		Y	5	dan	copula	n	V	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	6	dan	copula	n	##	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	12	agan	auxiliary	n	##	rec	1			
CSS	Malam	F	15-29	Dd?liag		Y	21	dan	copula	0	##	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	26	dan	copula	0	#	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	30	dan	copula	0	#	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	35	dan	copula	0	C	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	38	dan	copula	0	C	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	42	dan	copula	0	C	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	43	bogon	auxiliary	n	V	fut	3			
CSS	Malam	F	15-29	Dd?liag		Y	44	dan	copula	0	##	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	51	allan	auxiliary	n	V	prs	1			
CSS	Malam	F	15-29	Dd?liag		Y	52	dan	copula	0	#	prs	1			
CSS	Malam	F	15-29	Dd?liag		Y	59	dan	copula	0	V	prs	1			
CSS	Malam	F	15-29	Dd?liag		Y	62	dan	copula	0	C	prs	3			
CSS	Malam	F	15-29	Dd?liag		Y	65	allan	auxiliary	n	V	prs	1			
CSS	Malam	F	15-29	Dd?liag		Y	72	bogon	auxiliary	n	V	fut	3			
CTN	Limol	M	30-45	Yamkong		N	2	dan	copula	0	##	prs	3			
