Speaker_code	Hometown	Sex	Age_1	Clan	Sub_clan	Token_ID	Word	Genre	Major word class	Word_class	Syllabicity	Nasal_drop	Fol_seg	Tense
GGR	Malam	M	46-61	Ddɨliag	Bubog	127	anzäman	Interview	verb	lexical	3	n	##	rec
GGR	Malam	M	46-61	Ddɨliag	Bubog	128	angttägan	Interview	verb	lexical	3	n	##	rec
GGR	Malam	M	46-61	Ddɨliag	Bubog	131	nokoman	Interview	verb	lexical	3	0	C	rec
GGR	Malam	M	46-61	Ddɨliag	Bubog	132	angosan	Interview	verb	lexical	3	n	V	rec
GGR	Malam	M	46-61	Ddɨliag	Bubog	133	nallan	Interview	verb	lexical	2	n	##	prs
GGR	Malam	M	46-61	Ddɨliag	Bubog	134	dan	Interview	verb	copula	1	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	003	ainen	Interview	verb	copula	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	008	gogon	Interview	verb	auxiliary	2	n	##	rem
GJJ	Limol	M	30-45	Ddɨliag	Tizag	018	allan	Interview	verb	auxiliary	2	0	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	020	eran	Interview	verb	copula	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	022	eran	Interview	verb	copula	2	n	#	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	028	yaran	Interview	verb	lexical	2	n	V	rec
GJJ	Limol	M	30-45	Ddɨliag	Tizag	032	eran	Interview	verb	copula	2	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	037	anggan	Interview	verb	auxiliary	2	n	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	039	dan	Interview	verb	copula	1	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	041	dan	Interview	verb	copula	1	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	042	dan	Interview	verb	copula	1	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	043	dan	Interview	verb	copula	1	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	044	allan	Interview	verb	auxiliary	2	n	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	046	ainen	Interview	verb	copula	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	049	allan	Interview	verb	auxiliary	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	051	ainen	Interview	verb	copula	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	056	allan	Interview	verb	auxiliary	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	057	gognegnän	Interview	verb	auxiliary	3	n	V	rem
GJJ	Limol	M	30-45	Ddɨliag	Tizag	060	allan	Interview	verb	auxiliary	2	0	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	062	bogon	Interview	verb	auxiliary	2	n	V	fut
GJJ	Limol	M	30-45	Ddɨliag	Tizag	063	daden	Interview	verb	copula	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	070	allan	Interview	verb	auxiliary	2	n	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	071	gogon	Interview	verb	auxiliary	2	n	#	rem
GJJ	Limol	M	30-45	Ddɨliag	Tizag	072	dan	Interview	verb	copula	1	0	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	073	daden	Interview	verb	copula	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	074	allan	Interview	verb	auxiliary	2	n	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	076	anggan	Interview	verb	auxiliary	2	n	##	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	078	dan	Interview	verb	copula	1	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	079	dan	Interview	verb	copula	1	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	086	allan	Interview	verb	auxiliary	2	n	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	088	dan	Interview	verb	copula	1	0	C	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	090	bognegän	Interview	verb	auxiliary	3	n	#	fut
GJJ	Limol	M	30-45	Ddɨliag	Tizag	091	dan	Interview	verb	copula	1	n	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	093	budabän	Interview	verb	lexical	3	n	V	fut
GJJ	Limol	M	30-45	Ddɨliag	Tizag	095	allan	Interview	verb	auxiliary	2	n	#	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	096	gänyan	Interview	verb	copula	2	n	#	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	098	bägagän	Interview	verb	auxiliary	3	n	#	fut
GJJ	Limol	M	30-45	Ddɨliag	Tizag	099	eran	Interview	verb	copula	2	n	V	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	100	bägagän	Interview	verb	auxiliary	3	n	##	fut
GJJ	Limol	M	30-45	Ddɨliag	Tizag	105	eran	Interview	verb	copula	2	n	#	prs
GJJ	Limol	M	30-45	Ddɨliag	Tizag	106	eran	Interview	verb	copula	2	n	V	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	005	daden	Interview	verb	copula	2	0	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	006	nallan	Interview	verb	auxiliary	2	n	V	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	007	wainen	Interview	verb	copula	2	n	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	014	bogon	Interview	verb	auxiliary	2	n	##	fut
WGG	Limol	F	46-61	Yamkong	Bozrobag	016	dan	Interview	verb	copula	1	0	V	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	018	wainen	Interview	verb	copula	2	0	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	020	ainen	Interview	verb	copula	2	n	C	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	025	danttogän	Interview	verb	lexical	3	0	##	rem
WGG	Limol	F	46-61	Yamkong	Bozrobag	031	eran	Interview	verb	copula	2	0	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	034	dan	Interview	verb	copula	1	n	#	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	036	dan	Interview	verb	copula	1	n	V	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	037	dan	Interview	verb	copula	1	n	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	044	dan	Interview	verb	copula	1	0	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	047	dan	Interview	verb	copula	1	0	C	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	050	dan	Interview	verb	copula	1	0	C	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	057	wainen	Interview	verb	copula	2	n	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	060	allan	Interview	verb	auxiliary	2	0	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	061	dan	Interview	verb	copula	1	0	V	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	064	eran	Interview	verb	copula	2	0	#	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	065	dällädän	Interview	verb	lexical	3	n	V	rem
WGG	Limol	F	46-61	Yamkong	Bozrobag	066	anggan	Interview	verb	auxiliary	2	n	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	068	dan	Interview	verb	copula	1	0	V	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	072	budabän	Interview	verb	lexical	3	n	##	fut
WGG	Limol	F	46-61	Yamkong	Bozrobag	073	allan	Interview	verb	auxiliary	2	n	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	074	budabän	Interview	verb	lexical	3	n	V	fut
WGG	Limol	F	46-61	Yamkong	Bozrobag	075	allan	Interview	verb	auxiliary	2	0	##	prs
WGG	Limol	F	46-61	Yamkong	Bozrobag	076	budabän	Interview	verb	lexical	3	n	V	fut
WGG	Limol	F	46-61	Yamkong	Bozrobag	083	budabän	Interview	verb	lexical	3	n	##	fut
WGG	Limol	F	46-61	Yamkong	Bozrobag	085	bogon	Interview	verb	auxiliary	2	n	##	fut
WGG	Limol	F	46-61	Yamkong	Bozrobag	086	bogon	Interview	verb	auxiliary	2	n	##	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	003	wainen	Interview	verb	copula	2	n	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	006	gogon	Interview	verb	auxiliary	2	n	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	007	daden	Interview	verb	copula	2	n	C	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	010	gänyan	Interview	verb	copula	2	0	C	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	014	damändän	Interview	verb	lexical	3	n	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	019	gänyan	Interview	verb	copula	2	0	C	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	021	allan	Interview	verb	auxiliary	2	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	024	allan	Interview	verb	auxiliary	2	n	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	026	eran	Interview	verb	copula	2	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	032	gänyan	Interview	verb	copula	2	0	C	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	034	dan	Interview	verb	copula	1	n	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	037	eran	Interview	verb	copula	2	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	040	dindugän	Interview	verb	lexical	3	n	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	042	dan	Interview	verb	copula	1	n	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	054	gognegnän	Interview	verb	auxiliary	3	0	##	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	055	dan	Interview	verb	copula	1	0	#	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	056	bognegän	Interview	verb	auxiliary	3	0	V	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	057	bognegän	Interview	verb	auxiliary	3	0	##	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	059	bognegän	Interview	verb	auxiliary	3	n	V	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	060	daden	Interview	verb	copula	2	n	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	062	wainen	Interview	verb	copula	2	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	065	dan	Interview	verb	copula	1	n	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	070	eran	Interview	verb	copula	2	n	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	072	dan	Interview	verb	copula	1	0	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	076	allan	Interview	verb	auxiliary	2	0	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	079	dan	Interview	verb	copula	1	n	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	080	eran	Interview	verb	copula	2	n	#	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	082	bognegän	Interview	verb	auxiliary	3	0	#	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	083	dan	Interview	verb	copula	1	n	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	086	dan	Interview	verb	copula	1	n	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	088	eran	Interview	verb	copula	2	n	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	089	gogon	Interview	verb	auxiliary	2	n	V	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	090	gänyan	Interview	verb	copula	2	n	C	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	093	dan	Interview	verb	copula	1	n	C	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	094	bogon	Interview	verb	auxiliary	2	n	C	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	096	bogon	Interview	verb	auxiliary	2	n	##	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	097	gänyan	Interview	verb	copula	2	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	098	bogon	Interview	verb	auxiliary	2	n	V	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	003	gänyan	Narrative	verb	copula	2	n	#	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	007	gobällnän	Narrative	verb	lexical	3	n	V	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	008	gognegnän	Narrative	verb	auxiliary	3	0	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	010	dan	Narrative	verb	copula	1	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	011	gognegnän	Narrative	verb	auxiliary	3	n	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	012	gottamanän	Narrative	verb	lexical	4	n	##	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	013	gottamänän	Narrative	verb	lexical	4	n	##	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	014	gottamanän	Narrative	verb	lexical	4	n	##	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	015	gogon	Narrative	verb	auxiliary	2	n	#	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	016	gotäbanegän	Narrative	verb	lexical	5	n	##	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	017	dan	Narrative	verb	copula	1	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	018	ainin	Narrative	verb	copula	2	n	V	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	019	dan	Narrative	verb	copula	1	0	C	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	020	gogon	Narrative	verb	auxiliary	2	n	V	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	021	bogon	Narrative	verb	auxiliary	2	n	V	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	022	gogon	Narrative	verb	auxiliary	2	n	V	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	023	ballän	Narrative	verb	lexical	2	n	##	fut
WKS	Limol	M	46-61	Ddɨliag	Wedag	024	gogon	Narrative	verb	auxiliary	2	n	V	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	025	donyän	Narrative	verb	lexical	2	0	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	026	dowansegän	Narrative	verb	lexical	4	n	#	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	027	gogon	Narrative	verb	auxiliary	2	0	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	028	gungmaeyän	Narrative	verb	lexical	3	n	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	029	dallän	Narrative	verb	lexical	2	n	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	030	gokakalän	Narrative	verb	lexical	4	n	##	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	031	kättnan	Narrative	verb	infinitive	2	n	V	inf
WKS	Limol	M	46-61	Ddɨliag	Wedag	032	gognän	Narrative	verb	auxiliary	2	n	C	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	033	gontämonän	Narrative	verb	lexical	4	n	V	rem
WKS	Limol	M	46-61	Ddɨliag	Wedag	034	allan	Narrative	verb	auxiliary	2	0	##	prs
WKS	Limol	M	46-61	Ddɨliag	Wedag	035	dallän	Narrative	verb	lexical	2	n	V	rem
